,Publication,Date,Title,Content
0,Ansa,2024-09-23,"
                                    Meloni: 'L'Italia sostenitrice del multilateralismo.Il Piano Mattei esempio di nuova cooperazione'
                                  ","""Viviamo un tempo di crisi, però le crisi nascondo sempre una opportunità. Del resto la parola crisi deriva dal greco crisis, che significa scelta, decisione: le crisi costringono a mettersi in discussione, a schierarsi, non consentono di tentennare. Nessuno stato puo' governare le crisi del nostro tempo, per questo l'Italia e' una convinta sostenitrice del multilateralismo e della sua istituzione piu' rappresentativa che e' l'Onu, nella quale ogni voce viene ascoltata: il luogo nel quale siamo chiamati ad imparare, a capirci e a rispettarci"": Lo afferma la premier Giorgia Meloni parlando al Vertice del futuro all'Onu.     ""Le sfide che la storia ci ha messo di fronte sono numerose e multiformi: il cambiamento climatico, le disuguaglianze sociali ed economiche, le crisi umanitarie e sanitarie, la criminalita' transnazionale, i conflitti armati a partire dall'inaccettabile guerra russa nei confronti di una nazione sovrana come l'Ucraina, che rendono sempre piu' precaria la sicurezza internazionale. Di fronte ad uno scenario cosi' complesso noi non abbiamo altra scelta che agire"": lo ha detto la premier Giorgia Meloni intervenendo al Vertice del futuro nell'ambito dell'assemblea generale dell'Onu. Intervenendo al Vertice del futuro nell'ambito dell'assemblea generale dell'Onu, la premier Giorgia Meloni ha ribadito la posizione italiana sulla riforma del consiglio di sicurezza, che non puo' ""prescindere dai principi di uguaglianza, democraticita' e rappresentativita'"". ""La riforma - ha spiegato - ha un senso se viene fatta per tutti e non solo per alcuni. Non ci interessa creare nuove gerarchie e non crediamo che esistano nazioni di serie A e di serie B. Esistono le nazioni, con le loro storie, le loro peculiarita' e i loro cittadini che hanno tutti gli stessi diritti perche' gli individui nascono tutti liberi e uguali"".     ""Dobbiamo pensare in modo nuovo la cooperazione tra le nazioni. L'Italia lo fatto col piano Mattei, un piano di investimenti pensato per cooperare con le nazioni africane attraverso un approccio che non è né paternalistico né caritatevole né predatorio ma basato sul rispetto e sul diritto per ciascuno di competere ad armi pari. E' la nostra ricetta per promuovere lo sviluppo di un continente troppo spesso sottovalutato, per costruirne la stabilità e garantire un diritto che fino ad oggi è stato negato a troppi giovani: il diritto a non dover emigrare"" ha detto la presidente del Consiglio.   "
1,Ansa,2024-09-23,"
                                    Uccide la madre, dopo 24 ore confessa in diretta tv
                                  ","Lo cercavano da ieri pomeriggio con i droni, temendo che dopo aver ucciso l'anziana madre avesse deciso di togliersi la vita o potesse fare altri gesti gravi. Ma dopo 24 ore Lorenzo Carbone, 50 anni, è invece tornato a casa sua, a Spezzano di Fiorano Modenese, in piazza delle Rose. E davanti a casa è stato intercettato da un giornalista di Pomeriggio 5, Fabio Giuffrida. Tra le lacrime, l'uomo ha confessato l'omicidio e lo ha fatto in diretta televisiva. Poi il giornalista della trasmissione condotta da Myrta Merlino ha chiamato i carabinieri che lo hanno portato in caserma, dove è stato interrogato formalmente. Verrà preso un provvedimento cautelare a suo carico. Rispondendo alle domande del giornalista, l'uomo ha ammesso di aver strangolato la madre ottantenne, Loretta Levrini. ""Non so perché l'ho fatto"", ha detto, visibilmente provato. Non è chiaro dove sia stato nelle ore in cui era ricercato, in particolare nella zona della Bocciofila di Fiorano e controllando fossi e canali del territorio. ""Sono stato a Pavullo - ha detto sempre ai microfoni - così, per allontanarmi"". Poi ha raccontato nei dettagli anche come ha strangolato la madre, con un laccio, dopo aver provato in altri modi. ""Non so perché l'ho fatto"", ha ripetuto, singhiozzando. Loretta Levrini era stata trovata ieri pomeriggio dall'altra figlia, verso le 17, quando questa era andata a farle visita come ogni fine settimana. L'anziana era sul letto, strangolata con un laccio, presumibilmente nel corso della mattinata di domenica. La figlia (e sorella dell'indagato) ha avvisato una vicina e poi sono state allertate le forze dell'ordine, per le ricerche e le indagini, coordinate dal pm Giuseppe Amara. Fin da subito i sospetti sono stati indirizzati su Carbone, risultato essere irreperibile. Secondo chi li conosceva era una famiglia riservata, con la mamma anziana e con qualche patologia e il figlio convivente disoccupato da tempo. Non risulta seguito dai servizi sociali del territorio. Sabato, come faceva quasi tutti i weekend, era andato a prendere le pizze per lui e per la madre."
2,Ansa,2024-09-23,"
                                    Rivisto al ribasso il Pil del 2023, al rialzo nel 2022 e 2021. Giorgetti: 'Revisione lieve, Psb non cambia'
                                  "," L'economia italiana è cresciuta negli ultimi tre anni più del previsto ma l'impatto sulla manovra potrebbe essere minimo, quasi impercettibile.L'attesa revisione dei conti economici nazionali operata dall'Istat mostra un Pil aumentato anno dopo anno più del previsto e arrivato nel 2023 in termini assoluti a 2.128 miliardi, un livello superiore ai massimi toccati prima della crisi finanziaria del 2008. L'impatto sui conti pubblici è stato conseguente: il deficit è passato dal 7,4% al 7,2% e il debito è sceso in maniera ancora più vistosa, dal 137,3% stimato la scorsa primavera al 134,6%. Le nuove stime, entrate nel dibattito politico in vista della messa a punto del Piano strutturale di bilancio nella speranza di molti di ottenere dalla statistica un tesoretto utile per la manovra, non sembrano però avere un effetto immediato e di portata significativa su quest'anno e i successivi. Dal punto di vista tecnico, l'Istat non si sbilancia, parlando di ""una dinamica sottostante che sostanzialmente rimane confermata"", nonostante il livello del Pil sia salito oltre le previsioni iniziali. Dando una lettura un po' più politica, Lucia Albano, sottosegretaria al Mef in quota Fdi, vede invece nel miglioramento dei conti pubblici ""una maggiore flessibilità"" per la manovra. Con un'interpretazione che non coincide però con quella di Giancarlo Giorgetti. Per il ministro dell'Economia, la revisione ""è di lieve entità"" e non cambia i principi e il quadro del Piano strutturale di bilancio già esaminato dal consiglio dei ministri del 17 settembre. Il Psb sarà quindi ora semplicemente ""rifinito"" alla luce dei nuovi numeri. Il messaggio a partiti e ministri resta dunque quello già recapitato qualche giorno fa: di tesoretti non ce ne sono. Effettivamente l'impatto sul 2024 è estremamente complicato da calcolare. Innanzitutto perché, se da una parte l'Istat ha rivisto al rialzo il valore nominale del Pil sia del 2021 che del 2022 e del 2023 (influenzando in positivo il deficit e il debito che si calcolano proprio con il Pil al denominatore), dall'altra ha alzato il tasso di crescita solo per i primi due anni, tagliando invece quello dell'ultimo. In pratica, nonostante lo scorso anno il prodotto interno lordo italiano sia cresciuto di 43 miliardi in più rispetto alle stime di aprile, arrivando appunto a sfiorare i 2.130 miliardi, la crescita dell'economia è stata dello 0,7% e non dello 0,9% come calcolato finora. Il confronto con il 2022 rivisto al rialzo porta infatti ad un ridimensionamento della percentuale di variazione. Alla luce dei nuovi numeri, per l'Istituto di statistica potrebbe esserci ""solo un effetto scala e non sui tassi crescita"". Giorgia Meloni ha del resto già anticipato che il governo crede di poter raggiungere una crescita dell'1% come indicato nei tendenziali dello scorso Def. Come annunciato subito dopo il consiglio dei ministri che ha avviato l'esame del Psb, il defict dovrebbe invece rientrare progressivamente fino a scendere sotto il 3% entro il 2026, anche se il percorso potrebbe essere reso più arduo dalla volontà espressa da Giorgetti di rendere strutturale il taglio del cuneo. Infine, come richiesto dall'Europa, la spesa dovrebbe ridursi dell'1,5% l'anno, anche se - evidenzia Lorenzo Codogno - la revisione al ribasso della spesa corrente operata oggi dall'Istat per il 2023 potrebbe rendere ""un po' più difficile"" ridurre l'indicatore già nel 2024. I numeri completi arriveranno a breve all'attenzione dei parlamentari. Non è ancora certo che il Piano debba tornare in Cdm: mercoledì pomeriggio sarà illustrato alle parti sociali e poi potrebbe essere trasmesso direttamente alle Camere. In alternativa potrebbe essere riesaminato dai ministri nella prossima riunione di governo al momento programmata per venerdì. "
3,Ansa,2024-09-23,"
                                Voleva sparare a Trump, 'Era un tentativo di assassinio'
                              ","L'uomo arrestato vicino al campo da golf di Donald Trump a West Palm Beach ha lasciato una nota a un amico alcuni mesi fa che diceva: ""Questo era un tentativo di assassinio"". Lo riporta il Washington Post citando i documenti depositati in tribunale. Ryan Routh è stato arrestato il 15 settembre dopo che la canna del suo fucile è stata avvistata dal Secret Service che è intervenuto e lo ha messo in fuga. Routh è stato fermato poco dopo dalla polizia.Ryan Routh, l'uomo che voleva uccidere Trump, in un biglietto lasciato alcuni mesi prima aveva esortato altri a ""finire il lavoro"" e offerto 150.000 dollari di ricompensa a chiunque avesse ucciso il candidato repubblicano. Lo riportano i media americani."
4,Ansa,2024-09-23,"
                                'Investimenti a rischio con le polizze anticalamità'
                              ","Gli industriali lanciano l'allarme sull'ipotesi di una polizza obbligatoria contro i danni del clima, mentre dallo schema di decreto interministeriale illustrato al Mimit emerge che l'obbligo per le imprese entrerà in vigore il primo gennaio 2025.  ""Stiamo dialogando col ministro Giorgetti: stiamo dicendo che potrebbe diventare un grande problema, perché potrebbe accadere che nei territori dove ci sono problemi gli industriali non investano più. Vuol dire desertificare pezzi del territorio e non ce lo possiamo permettere"", sostiene il presidente di Confindustria Emanuele Orsini, rispondendo a una domanda sulla proposta del ministro della Protezione civile Nello Musumeci di istituire un'assicurazione obbligatoria per gli immobili. Orsini parla da emiliano, a Bologna per l'inaugurazione del Cersaie, a pochi chilometri dalla Romagna colpita dall'alluvione: dal palco invita le forze politiche a non ""fare polemiche"" ma a lavorare ""pancia a terra"" per ""finire i 280 cantieri che sono in corso e i 400 progetti"". Appello che arriva, con parole diverse, anche dal presidente della Cei e arcivescovo di Bologna Matteo Zuppi: ""Chiediamo alle istituzioni di intervenire, con tempestività ed efficacia, a sostegno delle famiglie e del territorio che ha mostrato, di nuovo, tutta la sua fragilità: le accuse vicendevoli e i proclami lascino il posto a misure adeguate, scelte lungimiranti e azioni concrete"". Ma mentre in Emilia-Romagna la Regione informa che le rotture sono state chiuse, i primi interventi urgenti sono stati terminati e gli evacuati sono scesi a circa 600, il confronto (e lo scontro) politico ormai si è spostato a Roma. Oggi a palazzo Piacentini, alla presenza del ministro delle Imprese Adolfo Urso, è stato illustrato il decreto interministeriale che dall'anno prossimo obbligherà le imprese ad assicurarsi dai rischi catastrofali: il provvedimento prevede ""premi proporzionali ai rischi tenendo conto delle caratteristiche del territorio e della vulnerabilità dei beni assicurati"". Le compagnie assicurative, entro i limiti della propria tolleranza al rischio e in coerenza col fabbisogno di solvibilità globale, non potranno rifiutarsi di stipulare polizze con le imprese. Sace Spa potrà riassicurare il rischio assunto dalle compagnie assicurative mediante la sottoscrizione di apposite convenzioni, a condizioni di mercato. ""L'introduzione dell'obbligo di assicurazione consentirà alle nostre imprese di tutelare al meglio sia la produzione che l'occupazione"", commenta Urso. A Bologna, detto delle obiezioni di Orsini, anche il ministro dell'Ambiente Gilberto Pichetto Fratin mostra prudenza sulla possibilità di un obbligo assicurativo per le case: ""Non c'è stata riunione nei Consigli dei ministri in cui si è parlato di polizze sugli edifici civili - mette le mani avanti - Sulle imprese c'è ed è obbligatoria. Io credo che si debba lavorare su questo con dei criteri di compartecipazione e volontarietà"". Parla di ""riflessioni in corso"" il sottosegretario al Mef Federico Freni, secondo cui ""è ovvio che non si possa imporre al cittadino"" la sottoscrizione. Dall'opposizione va all'attacco il presidente del M5s Giuseppe Conte: ""Le polizze obbligatorie per rischi catastrofali attualmente non sono neppure stimabili"", sottolinea, parlando di ""dilettanti veri, che sbaragliano l'Italia""."
5,Ansa,2024-09-23,"
                                Signorini torna libero, niente incarichi per 12 mesi
                              ","Era stato l'unico a finire in carcere lo scorso 7 maggio, quando è deflagrata l'inchiesta che ha terremotato la Regione Liguria, ed era l'unico ancora agli arresti domiciliari. Quattro mesi dopo Paolo Emilio Signorini, l'ex presidente dell'Autorità portuale ed ex ad di Iren, torna un uomo libero. Il giudice Matteo Buffoni ha disposto però nei suoi confronti il divieto di esercitare impresa o ricoprire uffici o incarichi direttivi in imprese per 12 mesi. E' ancora attesa, invece, la data per l'udienza dei patteggiamenti dello stesso Signorini, dell'ex governatore Giovanni Toti e dell'imprenditore Aldo Spinelli. L'ex manager pubblico era rimasto nel carcere di Marassi fino al 16 luglio, per poco più di due mesi: l'accusa nei suoi confronti è di aver preso soldi da Spinelli in cambio di concessioni portuali. Il giudice aveva poi concesso i domiciliari, accogliendo la richiesta degli avvocati Enrico e Mario Scopesi. Da allora era rimasto in un appartamento messo a disposizione dei familiari con una delle figlie a provvedere alle sue esigenze. Nelle scorse settimane Signorini ha accettato di patteggiare una pena a tre anni e cinque mesi, con la confisca di quasi 104 mila euro. Anche Spinelli e Toti hanno deciso di patteggiare: tre anni e due mesi il primo, due anni e un mese (convertiti in 1.500 ore di lavori di pubblica utilità) il secondo. Ma le condanne potrebbero aumentare di qualche mese visto che potrebbero essere contestati episodi corruttivi emersi nel corso delle indagini ma approfonditi dalla Guardia di Finanza, coordinata dai pubblici ministeri Federico Manotti e Luca Monteverde, solo dopo la richiesta di giudizio immediato. La data per i patteggiamenti, con ogni probabilità, sarà fissata subito dopo le elezioni regionali di fine ottobre in Liguria. Dopo il patteggiamento, per Signorini e Spinelli bisognerà aspettare il passaggio in giudicato della sentenza, a meno che uno dei due non decida di impugnare in Cassazione solo per prendere tempo, e poi deciderà il tribunale di Sorveglianza come fare scontare la pena. Con la riforma dell'allora ministro Marta Cartabia, per le condanne tra i 3 e i 4 anni, è prevista la possibilità di chiedere, in alternativa agli arresti domiciliari, l'affidamento ai servizi sociali. Per quanto riguarda Toti sarà lui a indicare al giudice presso quale struttura svolgere i lavori di pubblica utilità in base alle onlus accreditate o convenzionate con il Tribunale. L'ex presidente potrebbe svolgere lavori anche per oltre 15 ore settimanali e, forse, anche tramite smart-working. Toti sarà soggetto a controlli sul suo operato tramite l'Uepe (Ufficio esecuzione penale esterna) che dovrà verificare lo svolgimento dei lavori di pubblica utilità."
6,Ansa,2024-09-23,"
                                Kiev rivendica, 'aperto un nuovo varco a Kursk'. Mosca preme in Donbass
                              ","Le unità della 957ma brigata d'assalto aviotrasportate hanno sfondato una sezione del fronte al confine russo nella regione di Kursk. Lo riporta RBC-Ucraina riprendendo il dipartimento di comunicazione del comando delle forze armate dell'Ucraina su Telegram.   ""E' la seconda operazione riuscita di sfondare il confine russo dall'inizio dell'operazione nel territorio della regione russa di Kursk"", si legge nel messaggio. Il dipartimento delle comunicazioni non specifica esattamente dove nella regione di Kursk è stato sfondato il fronte.    La Germania non toglierà le limitazioni all'uso delle armi tedesche a Kiev sul territorio russo: è quello che ha ribadito il cancelliere tedesco Olaf Scholz, rispondendo sul tema ai giornalisti a New York, poco prima di incontrare Volodymyr Zelensky. ""Abbiamo preso alcune decisioni per noi molto chiare: non procederemo a rimuovere le limitazioni"" sull'impiego delle armi di ampia portata, ha affermato il Kanzler, ""questa mia posizione personale non è negoziabile"". A una domanda su cosa farà Berlino se gli Usa solleveranno dette limitazioni, Scholz ha rimarcato: ""noi non lo faremo, e con buone ragioni"". ""Scranton, Pennsylvania. Ho visitato uno stabilimento che produce proiettili di artiglieria da 155 mm. Ora, per i nostri guerrieri che stanno difendendo non solo il nostro Paese, non solo l'Ucraina, lo stabilimento aumenterà la produzione"". Lo scrive su X il presidente ucraino Volodymyr Zelensky in visita negli Usa. ""Ho iniziato la mia visita negli Stati Uniti esprimendo la mia gratitudine a tutti i dipendenti dello stabilimento e raggiungendo accordi per espandere la cooperazione tra la Pennsylvania e la nostra Zaporizhzhia. È in posti come questo che puoi davvero sentire che il mondo democratico può prevalere. Grazie a persone come queste, in Ucraina, in America e in tutti i paesi partner, che lavorano instancabilmente per garantire che la vita sia protetta"", ha concluso."
7,Ansa,2024-09-23,"
                                  
                                  Referendum sulla cittadinanza, sito in tilt. Il Pd presenta una proposta su ius soli e scholae
                                ","La piattaforma digitale istituita dal ministero della Giustizia per la raccolta delle firme per i referendum ha ripreso regolarmente a funzionare. Il blocco segnalato in queste ore era dovuto ad una richiesta eccezionale di accessi che ha portato ad oltre sessantamila tentativi in un'ora, causando il blocco del sistema. Lo rende noto il ministero dopo le segnalazioni di alcuni promotori della raccolta firme per il referendum cittadinanza.     I tecnici del Dipartimento per l'innovazione tecnologica della giustizia, tramite la Direzione generale dei sistemi informativi automatizzati, aggiunge via Arenula, hanno lavorato per escludere qualsiasi tentativo di hackeraggio della piattaforma e, dopo le opportune verifiche e i test, il portale ha ripreso regolarmente a funzionare. In mattinata  il segretario di +Europa, Riccardo Magi aveva denunciato sui social: ""Stavamo viaggiando a un ritmo di circa 10mila firme all'ora quando la piattaforma pubblica per la raccolta firme del ministero è andata in tilt… per le troppe firme. Da circa due ore migliaia di persone stanno provano a firmare per il Referendum Cittadinanza senza successo, ricevendo messaggi di errore. Gravissimo che una piattaforma governativa, pensata per questo obiettivo, non riesca a tenere il flusso delle firme"". "
8,Ansa,2024-09-23,"
                                  
                                  Mattarella a Piacenza: 'Non schierarsi con un sì o un no, bisogna pensare'
                                ","Il presidente della Repubblica Sergio Mattarella accolto da un forte e lungo applauso, quasi due minuti, all'arrivo a Palazzo Gotico a Piacenza dove partecipa all'evento ""A scuola per vivere la meraviglia"", parte del programma Scuole del Festival del Pensare contemporaneo che si chiude con questa cerimonia. L'evento, nel Salone monumentale, alla presenza di circa 350 studentesse e studenti provenienti da tutta Italia che presentano con dei video e degli interventi i risultati dei laboratori organizzati nell'ambito del Festival. Lo sport uno dei temi principali. Al presidente i ragazzi hanno rivolto dei pensieri con delle lettere. L'appuntamento - col contributo del ministero dell'Istruzione e del Merito - è il culmine dei laboratori di didattica esperienziale - legati dal filo conduttore del Festival, ""Vivere la meraviglia, tra stupore e spavento"". Coinvolti 35 istituti provenienti da 13 regioni. Tra loro nove scuole piacentine che hanno seguito il percorso ""Immaginare il contemporaneo"" scrivendo otto ""lettere di futuro"" indirizzate al capo dello Stato. Alcune vengono portate alla sua attenzione questo pomeriggio. Dopo questa visita a stretto giro il capo dello Stato è atteso al Municipale per il concerto in occasione dei 220 anni del Teatro. Occorre ""pensare e riflettere e non schierarsi con un sì o no su opinioni altrui. Questo è un esercizio di cittadinanza: la nostra Carta esorta ad offrire un contributo e lo si può fornire se si pensa, se si pensa in proprio e se si elabora una capacità di proposta. Non è facile mai costruire il futuro ma è davvero questo che chiede la costituzione"". Lo ha detto il presidente della Repubblica Sergio Mattarella parlando al Festival.  'Sempre di più - ha detto il presidente -  siamo ""indotti a correre come se vi si fosse costretti dalle convenzioni. Pensavo stamattina alle tante app che forniscono opportunità ma anche il rischio di essere passivi, per questo è sempre bene pensare in proprio, cosa che è fondamentale in questa che è la società della velocità. Perfino in vacanza abbiamo ritmi frenetici. C'è un grande scienziato, Lamberto Maffei, che ha fatto l'elogio della lentezza invitando a riappropriarsi del proprio tempo. Bisogna avere rispetto del proprio tempo. La lentezza, è il titolo di un libro di Milan Kundera e il suo messaggio è che la lentezza consente di ricordare. Naturalmente non è un elogio dell'inerzia"". ""Nel corso della storia ci sono state molti interrogativi davanti alle grandi svolte, mai c'è stata però una svolta nel pensiero. Questo riguarda direttamente ciascuno di noi, c'è una cosa che distingue in modo insormontabile l'uomo e le macchine: le macchine sono replicabili, ciò che distingue la mente umana è la sua irripetibilità e la sua unicità"". ""Ogni generazione è chiamata a suo modo a scoprire e vivere il rapporto con la natura: la terra non ha risorse infinite. Mi è piaciuto l'esempio che avete fatto della 'farfalla di Tokyo': c'è in esso un richiamo all'imprevedibilità degli eventi ma anche all'imprevedibilità che è una meraviglia della vita che va raccolta...continuate a battere le ali!"", ha concluso il presidente  Mattarella. LA DIRETTA "
9,Ansa,2024-09-23,"
                                  
                                  Il legale dei Cecchettin: 'Rimborso stimato in un milione'. Sentenza il 3 dicembre
                                ","Sarà un processo lampo quello per Filippo Turetta, lo studente ventiduenne reo confesso dell'omicidio dell'ex fidanzata Giulia Cecchettin, avvenuto l'11 novembre 2023. A favorire l'iter, dopo la prima udienza tecnica di oggi in Corte d'Assise a Venezia, la scelta del rito immediato, decisa dall'avvocato difensore Giovanni Caruso e il successivo accordo tra le parti, avvallato dal collegio presieduto da Stefano Manduzio, che - salvo inciampi - porterà alla sentenza il 3 dicembre prossimo.    La difesa di Turetta voleva evitare la spettacolarizzazione mediatica del dibattimento. La tragica fine di Giulia è assurta nell'opinione pubblica a simbolo della lotta ai femminicidi e, per converso, Turetta è divenuto oggetto della curiosità morbosa dei media. Non c'è stato atto dell'inchiesta, degli interrogatori, degli accertamenti forensi che non sia finito in un modo o nell'altro su giornali, social e contenitori pomeridiani della tv. Così oggi, come previsto, Filippo non si è fatto vedere in aula, su consiglio del suo avvocato, Giovanni Caruso. Anche il procuratore di Venezia, Bruno Cherchi, ha varcato la soglia dell'aula per seguire una prima fase dell'udienza. ""Il processo è sulle responsabilità personali - ha detto - E' un processo non al femminicidio, ma a Filippo Turetta. Non è uno studio sociologico, ma un accertamento delle responsabilità"". ""Il processo - ha concluso Cherchi - si deve svolgere nelle aule di Tribunale, nel rispetto anche dell'imputato"" Assente Turetta, l'attenzione di pubblico e giornalisti è stata catalizzata quindi dalla presenza di Gino Cecchettin, il papà di Giulia, che ha detto di attendersi ""una sentenza giusta"" e di aver piena fiducia nelle decisioni della Corte. L'appuntamento con Turetta, ha chiarito l'avvocato Caruso, è però solo rinviato: ""Mi attiverò - ha detto - affinché venga in aula per rispondere ai giudici. Certo, non oggi, ma quando sarà il momento"". Filippo quindi arriverà in Assise in una delle prossime udienze per essere interrogato. Nel frattempo Caruso ha rinunciato all'unico teste presentato, il consulente di parte, un'anatomopatologa, che aveva partecipato all'effettuazione dell'autopsia sul corpo di Giulia. Questa mossa ha portato a cascata alla rinuncia della ventina di testimoni da parte del Pm Andrea Petroni, con il placet dei legali dei familiari della ragazza. La prima giornata è stata dunque dedicata all'acquisizione del fascicolo con le prove del Pubblico ministero, la lista dei testimoni e il vaglio delle parti civili. L'udienza, tra dibattimento e camere di consiglio, si è chiusa dopo sei ore. Posti limitati nell'aula C del nuovo Tribunale di Venezia, 18 per le parti processuali e 40 equamente divisi tra pubblico e giornalisti. Le telecamere della Rai - uniche ammesse in aula dal presidente - hanno riversato i filmati a tutte le altre reti. La giuria della Corte d'Assise è composta da sei uomini, tra cui il presidente, e quattro donne, tra cui il giudice a latere. Il collegio ha respinto le richieste di costituzione come parti civili nel processo delle associazioni ""Penelope"", ""Differenza donna"", ""Punto Ups"", ""Prevenzione 'Marianna"" e ""I care you care"", e allo stesso modo ha escluso i Comuni di Vigonovo, dove Giulia viveva, e di Fossò, dove è avvenuto l'omicidio. Questo anche sulla base della posizione della difesa dell'imputato che, favorevole ad un processo rapido, ha richiamato l'insussistenza del diritto, alla luce della recente legislazione, di ampliare il numero delle parti.  La scelta del processo ""breve"", senza richiesta di perizia psichiatrica per l'imputato, è legata, ha sottolineato Caruso ""al percorso di maturazione personale di Filippo del gravissimo delitto commesso"" con possibilità in futuro, ""non certo in tempi brevi perché siamo al primo grado"" dell'avvio di un percorso riparativo per Turetta. Il presidente Manduzio, inserendo l'udienza odierna nel fascicolo del Pm, ha quindi stabilito la calendarizzazione: Turetta sarà sentito tra il 25 e il 28 ottobre, quindi sarà la volta della discussione, il 25 e 26 novembre, per chiudere con le eventuali repliche e sentenza il 3 dicembre. Durante l'udienza il legale di Elena Cecchettin, Nicodemo Gentile, ha fatto sapere che Gino Cecchettin chiederà un milione di euro di risarcimento."
