,Publication,Title,Content
0,Ansa,"
                              Attacco israeliano su Beirut, 8 morti e 59 feriti, ucciso il capo dell'unità d'èlite di Hezbollah
                            ","Attacco israeliano alla periferia meridionale di Beirut. Una fonte vicina a Hezbollah afferma che Ibrahim Aqil, capo della forza Al-Radwan, unità d'élite degli Hezbollah, è stato ucciso nel raid. Il bilancio dell'attacco, secondo il ministero della Salute libanese, è salito ad otto morti e 59 feriti. Secondo riporta Haartez, Aqil era stato dimesso oggi dall'ospedale dopo essere rimasto ferito dall'esplosione del suo cercapersone. Secondo i media internazionali, altri membri dell'unità d'élite Radwan di Hezbollah sono stati uccisi insieme al comandante dell'unità di élite mentre stavano tenendo una riunione.  Aqil faceva parte del Consiglio della Jihad, il massimo organo militare di Hezbollah, scrive il Times of Israele. Era ricercato dagli Stati Uniti anche per il suo ruolo nell'attentato del 1983 contro una caserma dei Marines a Beirut e per aver diretto la presa di ostaggi americani e tedeschi in Libano negli anni '80.Noto come Tahsin (Tahseen), Aqil è membro del Consiglio del Jihad, il più alto organo militare di Hezbollah. E su di lui pende da anni una taglia di 7 milioni di dollari da parte del governo statunitense. Già nel 2015 gli Stati Uniti avevano classificato Ibrahim Aqil come 'terrorista' e il suo nome era legato a numerosi attacchi terroristici in tutto il mondo e ad attività militare anche in Siria. L'Idf ha confermato di aver effettuato un ""raid mirato"" sulla città. Media libanesi mostrano immagini del cratere dell'edificio distrutto nella periferia sud di Beirut dal raid aereo israeliano. Si sentono urla e pianti di civili sul posto, gente che accorre a cercare vittime sotto le macerie, sirene di ambulanze in lontanza. Cinque bambini sono stati uccisi da Israele a Beirut nel raid aereo sulla periferia sud della capitale. Lo riferisce il ministero dell'informazione libanese.La tv di Hezbollah, al Manar, ha affermato che Israele ha condotto un raid con diversi missili sparati nella periferia sud di Beirut contro un edificio nell'area di Jamus. L'esercito israeliano, dopo aver confermato il raid a Beirut, ha reso noto che per il momento non cambiano le linee guida di sicurezza per i civili sul fronte interno israeliano.    Stamattina intanto l'esercito israeliano ha sostenuto che circa 70 razzi sono stati lanciati dal Libano nel nord di Israele nella seconda ondata di attacchi nel giro di mezzora. Lo riporta Haaretz. Hezbollah ha riferito di aver risposto ai raid aerei israeliani nel sud del Libano con una serie di lanci di razzi sull'Alta Galilea: ""In risposta alle aggressioni nemiche sulle località del sud del Libano i combattenti della resistenza islamica hanno colpito..."", cominciano così i comunicati che variano poi a seconda degli obiettivi presi di mira e delle armi usate.  Alcuni missili sono stati intercettati. In totale sono stati lanciati 130 razzi, come riferiscono i media israeliani.Israele subirà ""una risposta distruttiva da parte del fronte della resistenza"" dopo le esplosioni dei dispositivi in Libano che hanno portato alla morte di almeno 30 persone e al ferimento di migliaia. Lo ha scritto il comandante delle Guardie della rivoluzione iraniana, Hossein Salami, in una lettera al leader di Hezbollah, Hassan Nasrallah. ""Tali atti terroristici, indubbiamente dovuti alla disperazione e ai fallimenti del regime sionista, incontreranno presto una risposta schiacciante dal fronte della resistenza e assisteremo alla completa distruzione di questo regime crudele e criminale"", si legge nella lettera, riferisce Irna.  ""Le parole di Nasrallah sono dure contro Israele ma non annunciano un'immediata reazione, questo significa che c'è ancora tempo per trovare una soluzione per ridurre la tensione"". Lo ha detto il vicepremier e ministro degli Esteri Antonio Tajani a Radio24, sottolineando che ""l'obiettivo finale è il cessate il fuoco in Cisgiordania e a Gaza"" . Tajani ha anche spiegato che ""dalle parole di Nasrallah emerge il timore di un'escalation perchè anche in Libano la popolazione cristiana non è favorevole a una guerra in Israele .Adesso in Libano è importante arrivare all'elezione di un presidente della Repubblica. C'è uno stallo che dura da tantissimo tempo. Forse questo può permettere di aprire un dialogo con Israele e con le altre parti interessate alla situazione mediorientale"".   Diversi alti funzionari statunitensi hanno ammesso che un accordo di cessate il fuoco e di rilascio degli ostaggi tra Israele e Hamas è improbabile prima della fine del mandato del presidente Joe Biden: ""Nessun accordo è imminente. Non c'è sicurezza che verrà mai fatto"", ha affermato una delle fonti parlando al Wall Street Journal.  Almeno otto palestinesi sono stati uccisi e altri quattro feriti oggi in un attacco aereo israeliano che ha colpito un edificio nel campo profughi di Nuseirat, nel centro di Gaza. Lo riporta l'agenzia Wafa.   Secondo la tv pubblica Kan, ""un'alta personalità"" è stata uccisa nei pressi dell'aeroporto internazionale di Damasco in un attacco attribuito a Israele.  Diversi media arabi hanno riferito questa mattina che Israele ha attaccato un veicolo sulla strada dell'aeroporto di Damasco, secondo il canale saudita al Hadath diversi membri della milizia filo-iraniana ""le brigate Hezbollah in Iraq sarebbero state eliminati. "
1,Ansa,"
                                    Emilia-Romagna, domani il Cdm per lo stato di emergenza. Meloni: 'Pronti a stanziare 20 milioni'
                                  ","Domani alle 11 si riunisce il Consiglio dei ministri per l'approvazione dello stato di emergenza per l'Emilia Romagna. Il governo ""provvederà a stanziare 20 milioni di euro per far fronte alle prime necessità e per il ripristino dei servizi essenziali, e che ulteriori stanziamenti saranno resi disponibili all'esito delle ricognizioni successive all'emergenza"", ha assicurato la premier Giorgia Meloni, presiedendo una riunione in videocollegamento con l'Emilia Romagna sull'emergenza che ha colpito la regione, come riferisce una nota di Palazzo Chigi.   La presidente del Consiglio Giorgia Meloni, presiedendo una riunione in videocollegamento con l'Emilia Romagna sull'emergenza causata dal maltempo, ""ha ribadito la solidarietà del Governo alla popolazione colpita dalle violente calamità naturali dei giorni scorsi e ha acquisito le informazioni più recenti sulla situazione degli sfollati e sull'andamento dei soccorsi"". Lo riferisce una nota di Palazzo Chigi.    "
2,Ansa,"
                                    Chiara Petrolini ai domiciliari. Un bambino ad agosto è morto per shock emorragico
                                  ","È stata arrestata e posta agli arresti domiciliari Chiara Petrolini, 22 anni, accusata dell'omicidio dei suoi due figli neonati, trovati sepolti nel giardino della villetta dove la ragazza vive con la famiglia a Vignale di Traversetolo, in provincia di Parma. 'Finalmente. È l'unico commento che posso fare', dice all'ANSA la mamma del fidanzato della ragazza.Il 12 maggio 2023, quando Chiara Petrolini avrebbe partorito il primo bambino, i genitori e il fratello erano fuori ad un saggio di danza. E con le sue mani la ragazza avrebbe scavato una fossa per seppellirlo, ha spiegato il procuratore di Parma Alfonso D'Avino.""Allo stato non ci sono evidenze"" di una incapacità di intendere e di volere di Chiara Petrolini. ""Ovviamente è un profilo che ci riserviamo di verificare"", ha detto il procuratore. ""Quello che ci ha impressionato è che una ragazza che faceva la babysitter, ha gestito come responsabile una colonia estiva, dall'altra parte ha avuto questo tipo di comportamento. Un comportamento che lascia perplessi nel momento in cui si vede cosa ha fatto dopo aver sepolto il bambino. A meno di 24 ore dal parto ha avuto la forza fisica di andare dall'estetista, in un bar, mangiare la pizza con la famiglia. Ci si chiede che cosa c'è dentro. La cosa trova riscontro nella verifica di cosa è successo un anno prima: dopo la morte del figlio, il pomeriggio, il giorno dopo, andò a fare shopping con un'amica"": tutto questo ""potrà formare oggetto di valutazione per verificare la capacità, ma oggi è prematuro"". Quando le è stato chiesto dagli investigatori se voleva tenere i figli, Chiara Petrolini ha risposto di sì. E' quanto emerso dalla conferenza stampa in Procura. ""Ha riferito che, tornati dagli Stati Uniti, avrebbe detto ai genitori che era incinta"". Per la prima gravidanza ""ha detto che il bimbo era nato morto, e di essersi limitata a prenderlo e seppellirlo"". Anche per il secondo parto ha raccontato la stessa cosa: che è nato morto, quindi avrebbe tagliato il cordone e lo avrebbe sepolto. E perché ha tenuto nascoste le gravidanze? ""Ha detto di aver avuto paura del giudizio"". Il bambino partorito il 7 agosto da Chiara Petrolini era nato vivo in quanto aveva respirato. La morte è stata dovuta a uno shock emorragico da recisione del cordone ombelicale ""in assenza di una adeguata costrizione meccanica dei vasi ombelicali"", spiega la Procura. Durante la gravidanza Chiara Petrolini ha tenuto ""una condotta incompatibile con lo stato di gravidanza"", ha spiegato il procuratore di Parma Alfonso D'Avino. E questo è emerso ""soprattutto dalle informazioni raccolte dagli amici. ""Non ha mai disdegnato l'uso di sigarette elettroniche e con tabacco, anche accompagnato da assunzione di bevande alcooliche; da ultimo, dopo che travaglio era di fatto già iniziato, e nell'imminenza del parto, Chiara non ha neppure disdegnato l'uso di marijuana"", ha spiegato, dicendo che si tratta di elementi significativi per la contestazione della premeditazione.Nelle prime spontanee dichiarazioni fatte Chiara Petrolini ""aveva detto che ha nascosto il corpo del neonato nel giardino perché lo voleva vicino a sé"". Lo ha spiegato il comandante provinciale dei carabinieri di Parma, colonnello Andrea Pagliaro. E allora, quando si è intuita la possibilità di una seconda gravidanza, ""si è pensato che se veramente ci fosse stato un altro bambino lo avrebbe sepolto sempre lì, vicino alla sua camera"". Quando sono state trovate le ossa ""eravamo increduli"", ha ammesso l'ufficiale. Il disegno che Chiara ha maturato sin dalle prime battute della gravidanza o comunque da quanto ha iniziato a prendere coscienza della gravidanza stessa è stato la soppressione del proprio figlio, prima o dopo il parto. ""Sono infatti coerenti con tale disegno"", spiega la Procura di Parma che contesta la premeditazione alla 22enne, le ""ricerche sul web finalizzate ad acquisire elementi conoscitivi su"" ""come mantenere nascosta la gravidanza, come indurre o accelerare il parto"" e ""quali relazioni vi siano tra rottura delle acque, travaglio e parto"" e infine ""quali condotte tenere per cagionare, o favorire, un aborto""."
3,Ansa,"
                                    Le chat di Sangiuliano e Boccia, 'liti e finte gravidanze'
                                  ","Una serie di messaggi nella chat tra Gennaro Sangiuliano e Maria Rosaria Boccia sono parte della documentazione allegata alla denuncia presentata dal legale dell'ex ministro della Cultura, a carico dell'imprenditrice di Pompei. A rivelarne il contenuto è La Verità, che riporta alcuni passaggi delle conversazioni.   ""Ho fatto delle cose che non avrei mai fatto"", reciterebbe uno dei messaggi di Sangiuliano indirizzati a Boccia, che risponde: ""Hai ragione"". Poi un riferimento a quanto accaduto la notte tra il 16 e il 17 luglio: ""Sfregiato [...] Se non fossi stata tu avrei picchiato durissimo"". E lei: [Mi hai letteralmente mandato fuori di testa [...] mi hai portato a un punto imbarazzante [...] mi hai fatto diventare una iena"". Secondo quanto riferisce il quotidiano, Boccia avrebbe chiesto all'ex ministro di poter controllare il suo cellulare, pena, in caso di rifiuto, l'inoculazione di un trojan.  La Verità scrive inoltre di aver appreso che Boccia avrebbe proposto a Sangiuliano di firmare un patto di riservatezza secondo cui lui non l'avrebbe più dovuta cercare e lei non avrebbe mai rivelato la loro presunta storia intima. Ma, in alcuni dei messaggi riportati, Sangiuliano dice di rifiutarsi di firmare alcun documento. Inoltre - sempre secondo il giornale - il 2 agosto scorso Sangiuliano digita: ""Sono arrivato al punto di non farmi problemi se tu fossi incinta di me, anzi sarei stato felicissimo"". Mentre una settimana dopo lei dice: ""Sarai libero di viverti questa esperienza come vorrai nel rispetto di tuo figlio"".   "
4,Ansa,"
                                Von der Leyen a Kiev: 'Dalla Ue un prestito fino a 35 miliardi di euro'.
                              ","""È fondamentale che noi possiamo usare i fondi del Fondo Europeo per la Pace e del Fondo per l'Ucraina per sostenere le nostre forze armate, questi fondi non devono essere bloccati perché questo avrebbe un impatto sulla nostra capacità di sostenere i nostri militari al fronte"". Lo ha detto il presidente ucraino Volodymyr Zelensky in conferenza stampa con la presidente della Commissione Ue, Ursula von der Leyen, a Kiev.  ""Ti ringrazio per il lavoro sull'attuazione della nostra formula di pace. Organizzeremo quest'anno il secondo summit di pace, con il quale metteremo fine alla guerra, in modo che la pace sia davvero affidabile"", ha aggiunto Zelensky.   Von der Leyen ha sostenuto che ""la Russia ha messo in campo un vergognoso tentativo di far passare l'inverno ucraino al buio"". ""Sono qui - ha aggiunto - per dire agli ucraini che l'Ue vi aiuterà nella sfida energetica, per mantenere la luce accesa, per mantenere la popolazione al caldo, per far sì che la vostra economia cresca"". La presidente della Commissione Ue ha annunciato un piano di supporto energetico dell'Ue all'Ucraina, che prevede il mantenimento del collegamento di Kiev alla rete elettrica europea. ""La Russia deve pagare per la distruzione"" che ha portato, ha aggiunto. ""Il nostro obiettivo, con l'accordo degli Stati membri, è di aprire i negoziati sul cluster dei valori fondamentali e poi procedere velocemente con gli altri cluster"". ""Con l'aiuto dei nostri Stati membri, in questo caso la Danimarca - spiega la presidente della Commissione europea -  abbiamo iniziato a utilizzare"" le entrate generate dai beni congelati alla Russia per ""effettuare ordini di armi e attrezzature militari direttamente all'industria della difesa ucraina"".     Nel corso dell'incontro di Kiev von der Leyen e Zelensky hanno parlato anche del processo di adesione dell'Ucraina all'Ue. Lo screening ""va avanti senza ostacoli"", ha spiegato la presidente della Commissione. ""Gli implacabili attacchi russi rendono necessario il continuo sostegno dell'Ue all'Ucraina. La Commissione Ue fornirà all'Ucraina un prestito fino a 35 miliardi di euro come parte dell'impegno del G7. Si tratta di un altro importante contributo dell'Ue alla ripresa dell'Ucraina"". Lo scrive su X la presidente Ursula von der Leyen. La presidente della commissione europea è giunta questa mattina a Kiev, per 'parlare del sostegno europeo"" con l'avvicinarsi dell'inverno. Lo scrive la stessa von der Leyen su X. ""La mia ottava visita a Kiev avviene mentre inizia a breve la stagione che richiede riscaldamento e la Russia continua a prendere di mira le infrastrutture energetiche"", scrive Ursula von der Leyen su X , pubblicando una foto del suo arrivo alla stazione ferroviaria di Kiev.""Aiuteremo l'Ucraina nei suoi coraggiosi sforzi. - prosegue - Vengo qui per discutere del sostegno dell'Europa.Dalla preparazione invernale alla difesa, all'adesione e ai progressi sui prestiti del G7"".    President @ZelenskyyUA, we will continue supporting Ukraine ↓ https://t.co/ooT5OKGA1c 

"
5,Ansa,"
                                Salvini-Orban: 'Urgente fermare il conflitto in Ucraina'
                              ","""Il vicepremier e leader della Lega Matteo Salvini e il primo ministro dell'Ungheria Viktor Orban, in un colloquio a Budapest durato più di un'ora, hanno condiviso l'urgenza di fermare il conflitto in Ucraina, così come auspicato autorevolmente anche dal Santo Padre. Lo fa sapere il portavoce di Salvini. Durante l'incontro a Budapest con Matteo Salvini, il primo ministro dell'Ungheria Viktor Orban ""non ha mancato di chiedere"" al vicepremier e leader della Lega ""informazioni a proposito del processo di Palermo e ha garantito la presenza di una delegazione del proprio partito (Fidesz, ndr) e degli altri alleati europei sia a Pontida (6 ottobre) che in Sicilia in occasione dell'arringa di Giulia Bongiorno (18 ottobre)"". Lo fa sapere il portavoce di Salvini. ""Oggi abbiamo avuto un incontro eccellente con il patriota più ricercato d'Europa, Matteo Salvini. Grazie per la tua visita, Matteo! Sei il nostro eroe e sei sempre il benvenuto in Ungheria!"". Lo scrive in un tweet il primo ministro ungherese, Viktor Orban. Più di un'ora di colloquio tra il ministro delle Infrastrutture e leader della Lega Matteo Salvini e il primo ministro dell'Ungheria Viktor Orban, a Budapest. Prima i due leader si sono confrontati in privato, per poi allargare il confronto alle rispettive delegazioni. È stata l'occasione, spiega il portavoce del vicepremier, per alcune riflessioni a tutto campo, a partire dagli equilibri nell'Unione europea fino ad argomenti concreti di collaborazione tra i due Paesi come lo sviluppo del porto di Trieste. Un porto a cui, viene sottolineato, Budapest guarda con particolare interesse in quanto sbocco strategico sul Mediterraneo."
6,Ansa,"
                                Rottamazione delle cartelle, il 23 termine ultimo per la quinta rata
                              ","Conto alla rovescia per la quinta rata della Rottamazione-quater delle cartelle. L'ultimo giorno utile per il pagamento, ricorda l'Agenzia delle entrate-Riscossione, è lunedì 23 settembre. In caso di versamento non effettuato, eseguito oltre il termine ultimo oppure di ammontare inferiore, la legge prevede la perdita dei benefici della Definizione agevolata e quanto già pagato sarà considerato a titolo di acconto sul debito residuo. La scadenza, originariamente prevista il 31 luglio, è stata posticipata al 15 settembre, ma saranno considerati tempestivi i pagamenti entro il 23 considerando i giorni di tolleranza previsti per legge.La scadenza della quinta rata della Rottamazione-quater è stata posticipata dal decreto legislativo correttivo sugli adempimenti e il concordato (il n.108/2024) al 15 settembre. Agenzia delle entrate-Riscossione ricorda che i contribuenti in regola con le rate precedenti devono utilizzare il modulo di pagamento allegato alla Comunicazione delle somme dovute che riporta la scadenza del 31 luglio 2024. I CANALI DI PAGAMENTO. È possibile pagare in banca, agli uffici postali, nelle tabaccherie e ricevitorie, agli sportelli bancomat (Atm) abilitati, utilizzando i canali telematici delle banche, di Poste Italiane e di tutti gli altri Prestatori di Servizi di Pagamento (PSP) aderenti al nodo pagoPa, sul sito www.agenziaentrateriscossione.gov.it oppure con l'App Equiclick. Si può pagare anche direttamente agli sportelli di Agenzia delle entrate-Riscossione prenotando un appuntamento. SERVIZI ONLINE. I contribuenti che hanno necessità di recuperare la Comunicazione delle somme dovute e i moduli di pagamento possono sempre scaricarne una copia direttamente nell'area riservata del sito www.agenziaentrateriscossione.gov.it oppure riceverli via e-mail inviando una richiesta dall'area pubblica, senza necessità quindi di pin e password, allegando un documento di riconoscimento. Sul sito di Agenzia delle entrate-Riscossione è disponibile anche ContiTu, il servizio che consente di scegliere di pagare in via agevolata soltanto alcuni degli avvisi/cartelle contenuti nella Comunicazione delle somme dovute. COSA PREVEDE LA DEFINIZIONE AGEVOLATA. La Definizione agevolata dei carichi affidati all'agente della riscossione dal primo gennaio 2000 al 30 giugno 2022, introdotta dalla Legge di Bilancio 2023, consente di versare solo l'importo dovuto a titolo di capitale e quello dovuto a titolo di rimborso spese per le eventuali procedure esecutive e per i diritti di notifica. Non sono invece da corrispondere le somme dovute a titolo di sanzioni, interessi iscritti a ruolo, interessi di mora e aggio. Per quanto riguarda i debiti relativi alle multe stradali o ad altre sanzioni amministrative (diverse da quelle irrogate per violazioni tributarie o per violazione degli obblighi contributivi), non sono da corrispondere le somme dovute a titolo di interessi (comunque denominati, comprese pertanto le cosiddette 'maggiorazioni'), nonché quelle dovute a titolo di aggio. I contribuenti hanno potuto presentare la domanda di adesione entro il 30 giugno 2023, scegliendo se effettuare il pagamento in un'unica soluzione o in un massimo di 18 rate in cinque anni. Successivamente, l'Agenzia delle entrate-Riscossione ha inviato agli interessati la comunicazione delle somme dovute, cioè la lettera di risposta con l'esito della richiesta, l'elenco dei debiti ""rottamati"", l'importo dovuto e i moduli di pagamento."
7,Ansa,"
                                Riapre una centrale nucleare Usa per fornire elettricità a Microsoft
                              ","Il gruppo energetico americano Constellation ha annunciato la riapertura di un'unità di Three Mile Island in Pennsylvania, dove nel 1979 è avvenuto il più grave incidente nucleare nella storia degli Stati Uniti, per fornire elettricità ai data center di Microsoft. Secondo il comunicato stampa, l'accordo firmato con il colosso americano dell'informatica ha una durata di 20 anni e consentirà di rilanciare l'unità 1, vicina a quella teatro dell'incidente."
8,Ansa,"
                                  
                                  L'omelia ai funerali di Schillaci: 'Sei in squadra in paradiso'
                                ","""Sinora, caro Totò avevi giocato soltanto il primo tempo della tua vita, breve, quasi da tempi supplementari, di 59 anni. E se è vero che non hai segnato il gol della vittoria su questa terra per liberarti dalla malattia, nel secondo tempo, che è durato un istante, quello della morte, nel fischio finale, come deve essere per ogni credente, lì hai giocato la partita più bella della tua vita, hai fatto il passaggio più bello della tua vita, un passaggio non con giocatori altrettanto bravi come te, ma con il numero 1, Gesù, e hai realizzato il passaggio alla vita eterna"".  È uno dei passaggi dell'omelia di monsignor Filippo Sarullo, parroco della cattedrale, che sta celebrando a Palermo i funerali di Totò Schillaci, scomparso mercoledì per un tumore al colon.    ""Ti sei ritrovato davanti ad una porta - ha aggiunto - ma non come quella di un campo di calcio di serie A, ma ti sei trovato davanti una porta senza traversa, una porta senza pali, una porta senza rete, ti sei ritrovato davanti la Porta della misericordia, la porta dell'amore, la porta della bontà del Padre che, da vero arbitro giusto e inappellabile, ti ha convocato per la partita del cuore, per la partita che non avrà mai fine, che ti ha fatto entrare nella squadra più bella del mondo, che si chiama Paradiso"".    Nelle prime file, in cattedrale, c'è il presidente della Figc Gabriele Gravina, l'ex presidente della Figc, Antonio Matarrese, il sindaco di Palermo Roberto Lagalla e il presidente del Palermo calcio Dario Mirri, che guida la delegazione della società con l'a.d. Gardini. Ci sono alcuni calciatori del Palermo, Francesco Di Mariano, nipote di Schillaci, Matteo Brunori e Jacopo Segre insieme al direttore sportivo Morgan De Sanctis e al vice Giulio Migliaccio e a una rappresentanza delle giovanili.    "
9,Ansa,"
                                  
                                  Open Arms, le parti civili chiedono oltre un milione a Salvini
                                ","Chiedendo alla Corte di riconoscere anche la responsabilità civile, oltre a quella penale, per Matteo Salvini imputato per sequestro di persona e rifiuto di atti d'ufficio nel processo Open Arms e per il quale il pm ha sollecitato sei anni di carcere, gli avvocati di parte civile, nella udienza di oggi, hanno richiesto una somma complessiva di oltre 1 milione di euro come risarcimento danni nei confronti dei propri assistiti, sia singoli naufraghi sia associazioni e organizzazioni non governative"".  ""Tutte le parti civili si sono riportate alle richieste che la Procura ha fatto in modo molto argomentato sia sulla ricostruzione dei fatti, sia sulle disposizioni giuridiche che sono state violate dell'imputato. Noi confidiamo sulla pronuncia del Tribunale, riteniamo che ci siano tutte le condizioni per affermare la responsabilità penale dell'allora ministro dell'Interno"", ha affermato l'avvocato di Open Arms, Arturo Salerni. Il pm ha chiesto sei anni di carcere per Salvini, accusato di sequestro di persona e rifiuto di atti d'ufficio. ""Sono emerse anche le vicende terribili di chi è stato ostaggio sulla nave per tanti giorni in condizioni disumane, persone che venivano da realtà infernali nei loro percorsi migratori soprattutto dai campi libici che sono luoghi di tortura - ha aggiunto il legale - In Italia si sono ritrovati ad aspettare per quello che era un atto dovuto come prevedono le convenzioni internazionali e la legge italiana""."
